49 7776 31843
0 0     -3.326500e+02 2.620900e+02
6 1804     2.962400e+02 3.490600e+02
4 1805     1.674300e+02 -3.244000e+01
6 1805     1.720900e+02 -3.215997e+01
8 1805     1.774600e+02 -3.146002e+01
9 1805     1.831900e+02 -3.298999e+01
14 1805     1.897100e+02 -3.687000e+01
4 1806     -1.519200e+02 2.973700e+02
6 1806     -1.727100e+02 3.284400e+02
8 1806     -1.982800e+02 3.674800e+02
9 1806     -2.264900e+02 4.127100e+02
4 1807     -1.315900e+02 2.885400e+02
6 1807     -1.500000e+02 3.179700e+02
4 1808     -1.465300e+02 2.548700e+02
6 1808     -1.647000e+02 2.792600e+02
8 1808     -1.859500e+02 3.101500e+02
4 1809     -1.336200e+02 2.743300e+02
6 1809     -1.535900e+02 3.061400e+02
8 1809     -1.749400e+02 3.419300e+02
9 1809     -2.037600e+02 3.842800e+02
4 1810     -1.741500e+02 2.946400e+02
6 1810     -1.960400e+02 3.261000e+02
8 1810     -2.251400e+02 3.658500e+02
9 1810     -2.560900e+02 4.134000e+02
5 1811     -3.306000e+01 1.301100e+02
11 1811     -2.879001e+01 1.189600e+02
5 1812     2.103900e+02 -5.073999e+01
10 1812     1.621400e+02 -4.140002e+01
5 1813     1.325500e+02 -1.653800e+02
9 1813     1.321300e+02 -1.650000e+02
14 1813     1.324900e+02 -1.651700e+02
5 1814     -3.171800e+02 2.683000e+02
11 1814     -2.372100e+02 2.047000e+02
5 1815     -8.934000e+01 1.771700e+02
11 1815     -7.563000e+01 1.564600e+02
16 1815     -5.967001e+01 1.227000e+02
30 1815     -6.019000e+01 1.164300e+02
34 1815     -6.182999e+01 1.114200e+02
43 1815     -5.935001e+01 1.061800e+02
5 1816     -5.042001e+01 1.661300e+02
7 1816     -4.550000e+01 1.561800e+02
10 1816     -3.894000e+01 1.364300e+02
11 1816     -4.197000e+01 1.466000e+02
5 1817     1.542800e+02 1.185700e+02
7 1817     1.487700e+02 1.133500e+02
10 1817     1.366500e+02 1.024300e+02
11 1817     1.421600e+02 1.081400e+02
13 1817     1.319000e+02 9.789999e+01
22 1817     1.267100e+02 9.319000e+01
5 1818     3.980000e+02 9.664999e+01
11 1818     3.051500e+02 6.842999e+01
5 1819     -3.449300e+02 8.792999e+01
11 1819     -2.518700e+02 6.383002e+01
5 1820     -3.257200e+02 8.239001e+01
11 1820     -2.418100e+02 6.110999e+01
21 1820     -1.199000e+02 1.054700e+02
23 1820     -1.915100e+02 1.115000e+02
26 1820     -5.287000e+01 9.960001e+01
28 1820     1.188000e+01 9.375000e+01
5 1821     2.092200e+02 2.837000e+01
11 1821     1.823000e+02 2.278003e+01
5 1822     2.309900e+02 1.270020e+00
11 1822     2.045800e+02 8.400269e-01
5 1823     2.261600e+02 -5.919983e+00
7 1823     2.129100e+02 -6.739990e+00
10 1823     1.902000e+02 -7.380005e+00
11 1823     2.011500e+02 -6.590027e+00
13 1823     1.809700e+02 -7.400024e+00
5 1824     -3.652500e+02 -3.587000e+01
10 1824     -2.368800e+02 -2.959003e+01
5 1825     1.823900e+02 -5.164001e+01
7 1825     1.662900e+02 -4.803003e+01
11 1825     1.540800e+02 -4.440002e+01
5 1826     2.450300e+02 1.721997e+01
7 1826     2.293900e+02 1.489001e+01
10 1826     2.032600e+02 1.139001e+01
11 1826     2.160300e+02 1.353998e+01
13 1826     1.925200e+02 1.034998e+01
5 1827     -6.473999e+01 -5.776001e+01
7 1827     -5.732001e+01 -5.279999e+01
10 1827     -4.579999e+01 -4.775000e+01
11 1827     -5.082001e+01 -4.942999e+01
13 1827     -4.085999e+01 -4.438000e+01
16 1827     -3.542001e+01 -4.135999e+01
22 1827     -3.773001e+01 -4.269000e+01
30 1827     -3.594000e+01 -4.026001e+01
34 1827     -3.829001e+01 -3.859998e+01
5 1828     -3.757001e+01 1.231800e+02
7 1828     -3.466000e+01 1.180500e+02
11 1828     -3.276001e+01 1.126100e+02
13 1828     -2.970999e+01 1.027700e+02
30 1828     -3.154001e+01 8.967001e+01
34 1828     -3.506000e+01 8.631000e+01
39 1828     -2.754001e+01 8.129001e+01
43 1828     -3.401001e+01 8.245999e+01
45 1828     -1.973999e+01 7.776001e+01
5 1829     2.380900e+02 3.067999e+01
7 1829     2.235100e+02 2.752002e+01
10 1829     1.981800e+02 2.309998e+01
11 1829     2.104800e+02 2.579999e+01
13 1829     1.883600e+02 2.151001e+01
22 1829     1.778700e+02 1.926001e+01
5 1830     -3.712900e+02 2.808002e+01
10 1830     -2.190900e+02 1.178003e+01
5 1831     2.612200e+02 8.739990e+00
7 1831     2.433600e+02 6.729980e+00
11 1831     2.278700e+02 6.289978e+00
5 1832     2.612200e+02 8.739990e+00
7 1832     2.433600e+02 6.729980e+00
10 1832     2.136500e+02 4.909973e+00
11 1832     2.278700e+02 6.289978e+00
5 1833     -3.349300e+02 6.260010e+00
11 1833     -2.224200e+02 6.099854e-01
26 1833     -2.094400e+02 2.031000e+01
28 1833     -1.067800e+02 1.559998e+01
36 1833     8.214001e+01 7.030029e+00
42 1833     1.622500e+02 7.070007e+00
5 1834     1.407600e+02 -7.073999e+01
11 1834     1.221500e+02 -6.184003e+01
5 1835     1.657000e+02 -1.454600e+02
11 1835     1.256200e+02 -1.065100e+02
5 1836     -7.079001e+01 1.876800e+02
10 1836     -5.610001e+01 1.541200e+02
11 1836     -6.001001e+01 1.655400e+02
5 1837     -1.976600e+02 9.160001e+01
11 1837     -1.456800e+02 6.851001e+01
5 1838     2.311500e+02 1.088000e+01
7 1838     2.174000e+02 9.080017e+00
10 1838     1.938900e+02 7.140015e+00
11 1838     2.049100e+02 8.349976e+00
13 1838     1.842400e+02 6.070007e+00
22 1838     1.742100e+02 4.840027e+00
30 1838     1.550200e+02 3.119995e+00
34 1838     1.438200e+02 2.049988e+00
5 1839     3.827600e+02 5.210022e+00
11 1839     2.929400e+02 -6.500244e-01
5 1840     -3.359100e+02 2.762000e+01
11 1840     -2.219100e+02 1.584998e+01
5 1841     2.388200e+02 -7.070001e+01
7 1841     2.202500e+02 -6.578998e+01
10 1841     1.913800e+02 -5.871997e+01
11 1841     2.053500e+02 -6.053998e+01
13 1841     1.801200e+02 -5.491998e+01
16 1841     1.587500e+02 -5.082001e+01
22 1841     1.689800e+02 -5.297998e+01
30 1841     1.474600e+02 -4.871002e+01
34 1841     1.353300e+02 -4.684998e+01
39 1841     1.299100e+02 -4.365002e+01
45 1841     1.321100e+02 -4.364001e+01
5 1842     -2.428300e+02 -8.050000e+01
11 1842     -1.895400e+02 -6.571002e+01
5 1843     -2.428300e+02 -8.050000e+01
11 1843     -1.895400e+02 -6.571002e+01
5 1844     -1.052500e+02 3.652400e+02
11 1844     -8.235001e+01 3.003800e+02
5 1845     -3.192800e+02 5.185999e+01
10 1845     -2.099500e+02 3.045001e+01
28 1845     2.029999e+01 6.165002e+01
29 1845     8.314999e+01 5.662000e+01
36 1845     1.424700e+02 5.228998e+01
42 1845     1.977100e+02 5.203998e+01
5 1846     -5.759000e+01 1.105800e+02
7 1846     -5.266000e+01 1.051600e+02
10 1846     -4.723001e+01 9.573999e+01
11 1846     -4.942001e+01 1.007500e+02
13 1846     -4.403000e+01 9.264999e+01
16 1846     -4.151999e+01 8.479001e+01
22 1846     -4.248001e+01 8.864001e+01
5 1847     -6.079001e+01 -2.160999e+01
7 1847     -5.519000e+01 -2.012000e+01
10 1847     -4.623999e+01 -1.988000e+01
11 1847     -5.150000e+01 -1.946997e+01
6 1848     3.224600e+02 4.963300e+02
8 1848     3.676700e+02 5.831400e+02
6 1849     3.018500e+02 4.857600e+02
8 1849     3.425400e+02 5.693400e+02
6 1850     -2.013600e+02 3.525600e+02
8 1850     -2.306900e+02 3.974100e+02
6 1851     -1.129900e+02 3.435300e+02
8 1851     -1.304900e+02 3.852000e+02
6 1852     -1.050100e+02 3.248500e+02
8 1852     -1.214400e+02 3.634500e+02
9 1852     -1.412000e+02 4.079400e+02
6 1853     -1.938400e+02 3.136000e+02
8 1853     -2.203300e+02 3.513600e+02
9 1853     -2.523900e+02 3.957300e+02
6 1854     -1.693900e+02 2.610000e+02
8 1854     -1.929400e+02 2.927500e+02
6 1855     -8.219000e+01 2.048900e+02
9 1855     -1.005000e+02 2.341900e+02
15 1855     -1.295500e+02 2.845700e+02
20 1855     -1.416000e+02 3.074900e+02
6 1856     -8.998999e+01 2.003200e+02
8 1856     -9.891000e+01 2.141200e+02
9 1856     -1.093100e+02 2.288000e+02
12 1856     -1.285600e+02 2.601200e+02
14 1856     -1.186900e+02 2.432600e+02
15 1856     -1.395400e+02 2.772800e+02
17 1856     -1.663800e+02 3.236500e+02
20 1856     -1.524700e+02 2.995500e+02
33 1856     -2.003600e+02 3.762100e+02
38 1856     -2.250000e+02 4.156600e+02
47 1856     -2.545200e+02 4.568300e+02
6 1857     1.688900e+02 1.542300e+02
8 1857     1.750900e+02 1.645900e+02
9 1857     1.812300e+02 1.753700e+02
12 1857     1.972200e+02 1.948800e+02
14 1857     1.893100e+02 1.845700e+02
6 1858     -6.119000e+01 1.522700e+02
9 1858     -7.598001e+01 1.742600e+02
15 1858     -9.862000e+01 2.101600e+02
6 1859     -2.038900e+02 9.007999e+01
9 1859     -2.554200e+02 1.121100e+02
12 1859     -3.214500e+02 1.400400e+02
14 1859     -2.856500e+02 1.246000e+02
18 1859     2.772300e+02 1.234800e+02
23 1859     3.458400e+02 1.159500e+02
24 1859     2.436900e+02 1.286500e+02
27 1859     2.099300e+02 1.330000e+02
6 1860     -2.137200e+02 8.070999e+01
9 1860     -2.672600e+02 1.013900e+02
12 1860     -3.360300e+02 1.276300e+02
14 1860     -2.984800e+02 1.132200e+02
15 1860     -3.803100e+02 1.439200e+02
18 1860     2.642600e+02 1.085400e+02
19 1860     2.969700e+02 1.054300e+02
25 1860     1.611900e+02 1.200800e+02
27 1860     1.982500e+02 1.157100e+02
6 1861     -1.850300e+02 5.828998e+01
9 1861     -2.311400e+02 7.376001e+01
12 1861     -2.903600e+02 9.307999e+01
14 1861     -2.586900e+02 8.217001e+01
15 1861     -3.281900e+02 1.047000e+02
18 1861     3.065900e+02 8.675000e+01
19 1861     3.406800e+02 8.439001e+01
23 1861     3.764800e+02 8.110999e+01
24 1861     2.723800e+02 9.047000e+01
27 1861     2.377600e+02 9.354001e+01
6 1862     -1.957700e+02 5.778003e+01
9 1862     -2.447000e+02 7.359998e+01
12 1862     -3.077300e+02 9.326001e+01
14 1862     -2.736600e+02 8.220999e+01
15 1862     -3.482000e+02 1.052800e+02
18 1862     2.893700e+02 8.342999e+01
19 1862     3.231500e+02 8.081000e+01
23 1862     3.585000e+02 7.762000e+01
24 1862     2.557200e+02 8.710999e+01
27 1862     2.214400e+02 8.963000e+01
6 1863     -2.124300e+02 4.852002e+01
9 1863     -2.654300e+02 6.269000e+01
18 1863     2.660600e+02 6.720001e+01
19 1863     2.988700e+02 6.504999e+01
21 1863     3.674600e+02 5.858002e+01
23 1863     3.334900e+02 6.240002e+01
24 1863     2.327000e+02 7.028998e+01
27 1863     1.995800e+02 7.233002e+01
6 1864     2.624500e+02 3.265002e+01
9 1864     2.963200e+02 4.340997e+01
6 1865     2.780700e+02 2.692999e+01
8 1865     2.964400e+02 3.163000e+01
9 1865     3.169100e+02 3.685999e+01
12 1865     3.690600e+02 4.563000e+01
14 1865     3.421600e+02 4.051001e+01
6 1866     2.759800e+02 2.445001e+01
9 1866     3.146500e+02 3.448999e+01
14 1866     3.393200e+02 3.752002e+01
6 1867     2.573900e+02 2.141998e+01
8 1867     2.740500e+02 2.553003e+01
9 1867     2.890400e+02 2.946002e+01
12 1867     3.316700e+02 3.653003e+01
6 1868     -2.074100e+02 1.990997e+01
9 1868     -2.639100e+02 2.778998e+01
12 1868     -3.394000e+02 3.808002e+01
19 1868     3.009300e+02 2.885999e+01
23 1868     3.377100e+02 2.612000e+01
27 1868     1.918300e+02 3.278998e+01
31 1868     1.092200e+02 3.742999e+01
32 1868     2.628000e+01 4.178998e+01
37 1868     6.842001e+01 4.090997e+01
40 1868     -1.179300e+02 4.940002e+01
46 1868     -1.641100e+02 5.034998e+01
48 1868     -2.110300e+02 5.203998e+01
6 1869     -2.298600e+02 1.839001e+01
9 1869     -2.973700e+02 2.759998e+01
18 1869     2.273500e+02 2.620001e+01
19 1869     2.654100e+02 2.482001e+01
21 1869     3.425900e+02 1.992999e+01
26 1869     3.797300e+02 1.877002e+01
32 1869     -2.517999e+01 3.979999e+01
41 1869     -1.272200e+02 4.509003e+01
44 1869     -7.526001e+01 4.373999e+01
6 1870     -2.298600e+02 1.839001e+01
9 1870     -2.973700e+02 2.759998e+01
32 1870     -2.517999e+01 3.979999e+01
41 1870     -1.272200e+02 4.509003e+01
6 1871     2.146600e+02 1.217999e+01
9 1871     2.343400e+02 1.790997e+01
12 1871     2.587500e+02 2.098999e+01
14 1871     2.463100e+02 1.885999e+01
15 1871     2.722200e+02 2.222998e+01
17 1871     3.029500e+02 2.801001e+01
33 1871     3.419200e+02 3.315002e+01
35 1871     3.212200e+02 3.071002e+01
38 1871     3.680200e+02 3.733002e+01
6 1872     -1.351500e+02 -3.989990e+00
8 1872     -1.472100e+02 -2.349976e+00
9 1872     -1.611300e+02 -1.140015e+00
12 1872     -1.924400e+02 3.400269e-01
14 1872     -1.751700e+02 -9.099731e-01
15 1872     -2.096000e+02 9.299927e-01
17 1872     -2.584600e+02 5.270020e+00
20 1872     -2.319700e+02 3.109985e+00
25 1872     3.388900e+02 2.580017e+00
27 1872     3.713600e+02 5.599976e-01
31 1872     3.070000e+02 3.979980e+00
32 1872     2.447600e+02 5.820007e+00
33 1872     -3.201300e+02 9.020020e+00
35 1872     -2.868900e+02 8.520020e+00
37 1872     2.762100e+02 6.630005e+00
38 1872     -3.627500e+02 1.438000e+01
40 1872     1.413400e+02 1.009998e+01
41 1872     1.755300e+02 8.359985e+00
44 1872     2.106700e+02 8.909973e+00
46 1872     1.091000e+02 9.840027e+00
48 1872     7.720001e+01 1.050000e+01
6 1873     -2.359800e+02 -8.890015e+00
9 1873     -3.094000e+02 -6.150024e+00
18 1873     2.151000e+02 -7.880005e+00
19 1873     2.549300e+02 -8.580017e+00
24 1873     1.743000e+02 -6.619995e+00
27 1873     1.344500e+02 -5.940002e+00
6 1874     -1.294000e+02 -1.060999e+01
8 1874     -1.324600e+02 -8.840027e+00
9 1874     -1.544000e+02 -8.739990e+00
25 1874     3.583900e+02 -9.380005e+00
6 1875     -1.294000e+02 -1.060999e+01
9 1875     -1.544000e+02 -8.739990e+00
12 1875     -1.820500e+02 -8.150024e+00
17 1875     -2.421000e+02 -6.000000e+00
20 1875     -2.186900e+02 -6.890015e+00
25 1875     3.583900e+02 -9.380005e+00
31 1875     3.271500e+02 -8.169983e+00
32 1875     2.666400e+02 -7.219971e+00
33 1875     -2.961300e+02 -4.830017e+00
35 1875     -2.667400e+02 -3.840027e+00
37 1875     2.967300e+02 -6.059998e+00
38 1875     -3.324400e+02 -1.559998e+00
40 1875     1.666500e+02 -3.979980e+00
41 1875     1.996400e+02 -5.210022e+00
44 1875     2.339800e+02 -4.469971e+00
47 1875     -3.768600e+02 -2.210022e+00
6 1876     2.120300e+02 -1.387000e+01
8 1876     2.212300e+02 -1.237000e+01
9 1876     2.317100e+02 -1.098999e+01
6 1877     2.384800e+02 -1.395001e+01
9 1877     2.972300e+02 -1.187000e+01
6 1878     -1.186900e+02 -4.767999e+01
8 1878     -1.284000e+02 -4.866998e+01
9 1878     -1.391100e+02 -5.006000e+01
14 1878     -1.504000e+02 -5.304999e+01
6 1879     2.489100e+02 -5.691998e+01
9 1879     2.778300e+02 -6.065997e+01
12 1879     3.151900e+02 -6.870001e+01
14 1879     2.958300e+02 -6.503998e+01
6 1880     1.620800e+02 -6.009003e+01
8 1880     1.746800e+02 -6.337000e+01
9 1880     1.898900e+02 -6.781000e+01
12 1880     2.309800e+02 -8.308002e+01
14 1880     2.087000e+02 -7.540002e+01
15 1880     2.589100e+02 -9.347998e+01
17 1880     3.472400e+02 -1.235600e+02
20 1880     2.958700e+02 -1.054700e+02
6 1881     1.926800e+02 -5.988000e+01
9 1881     2.267700e+02 -6.745001e+01
12 1881     2.766400e+02 -8.338000e+01
14 1881     2.497900e+02 -7.533002e+01
15 1881     3.110000e+02 -9.306000e+01
6 1882     -3.066700e+02 -7.000000e+01
8 1882     -3.535600e+02 -7.628998e+01
19 1882     1.764400e+02 -7.085999e+01
21 1882     2.562100e+02 -7.025000e+01
23 1882     2.168500e+02 -6.985999e+01
26 1882     2.951900e+02 -6.915997e+01
28 1882     3.342400e+02 -6.884998e+01
6 1883     6.179001e+01 -9.067999e+01
8 1883     6.404001e+01 -9.806000e+01
9 1883     6.692999e+01 -1.078600e+02
12 1883     7.604001e+01 -1.370200e+02
14 1883     7.097000e+01 -1.211800e+02
6 1884     -2.449500e+02 -1.200100e+02
8 1884     -3.108800e+02 -1.431900e+02
21 1884     3.241700e+02 -1.359600e+02
23 1884     2.538100e+02 -1.397200e+02
6 1885     -2.908500e+02 -1.605500e+02
8 1885     -3.718500e+02 -1.948100e+02
19 1885     1.301600e+02 -1.747300e+02
23 1885     2.049500e+02 -1.681200e+02
24 1885     -2.895001e+01 -1.886400e+02
27 1885     -1.166400e+02 -1.967300e+02
6 1886     1.010600e+02 -1.937600e+02
11 1886     9.925000e+01 -1.647300e+02
6 1887     2.851200e+02 4.747100e+02
8 1887     3.216600e+02 5.527300e+02
6 1888     2.752900e+02 4.242400e+02
8 1888     3.072500e+02 4.886300e+02
6 1889     2.702200e+02 4.108400e+02
8 1889     3.027500e+02 4.745500e+02
6 1890     -1.913000e+02 3.183300e+02
8 1890     -2.171000e+02 3.566200e+02
9 1890     -2.484900e+02 4.016500e+02
6 1891     -1.652500e+02 3.139100e+02
8 1891     -1.886200e+02 3.503100e+02
6 1892     -1.643100e+02 2.577700e+02
8 1892     -1.869300e+02 2.884500e+02
6 1893     3.276100e+02 3.765997e+01
8 1893     3.546900e+02 4.404999e+01
9 1893     3.872400e+02 5.214001e+01
6 1894     3.283400e+02 3.403998e+01
8 1894     3.561400e+02 4.060999e+01
9 1894     3.889500e+02 4.803998e+01
6 1895     -2.824300e+02 2.250000e+01
8 1895     -3.264000e+02 2.896997e+01
9 1895     -3.834800e+02 3.525000e+01
21 1895     2.808900e+02 2.139001e+01
24 1895     1.112900e+02 2.965997e+01
25 1895     2.017001e+01 3.416998e+01
26 1895     3.220000e+02 1.903998e+01
28 1895     3.631400e+02 1.710999e+01
31 1895     -2.979999e+01 3.726001e+01
32 1895     -1.303000e+02 4.298999e+01
41 1895     -2.476500e+02 4.828003e+01
6 1896     -2.204600e+02 1.732001e+01
9 1896     -2.828400e+02 2.607001e+01
18 1896     2.425500e+02 2.553998e+01
21 1896     3.552800e+02 1.976001e+01
23 1896     3.181000e+02 2.248999e+01
6 1897     -1.323100e+02 -2.962000e+01
8 1897     -1.437100e+02 -2.935999e+01
9 1897     -1.565400e+02 -2.984998e+01
12 1897     -1.842900e+02 -3.233002e+01
14 1897     -1.699000e+02 -3.162000e+01
15 1897     -2.002100e+02 -3.478998e+01
20 1897     -2.196200e+02 -3.514001e+01
25 1897     3.566200e+02 -4.319000e+01
31 1897     3.266300e+02 -4.308002e+01
35 1897     -2.661000e+02 -3.671002e+01
37 1897     2.979400e+02 -4.067999e+01
6 1898     1.266100e+02 -5.063000e+01
8 1898     1.331000e+02 -5.225000e+01
9 1898     1.412500e+02 -5.471002e+01
14 1898     1.506700e+02 -5.914001e+01
20 1898     1.868100e+02 -7.346997e+01
6 1899     -2.441400e+02 -5.254999e+01
9 1899     -3.190800e+02 -6.064001e+01
14 1899     -3.690300e+02 -6.732001e+01
6 1900     -2.604999e+01 -7.429999e+01
8 1900     -3.404001e+01 -8.022998e+01
9 1900     -4.464001e+01 -8.842999e+01
14 1900     -5.572000e+01 -9.985999e+01
6 1901     2.762200e+02 -9.638000e+01
8 1901     3.225900e+02 -1.103000e+02
9 1901     3.890600e+02 -1.309300e+02
6 1902     2.847300e+02 -9.790997e+01
8 1902     3.331200e+02 -1.123700e+02
6 1903     2.906000e+02 -1.021800e+02
8 1903     3.404000e+02 -1.178300e+02
6 1904     -2.495600e+02 -1.205700e+02
8 1904     -3.158500e+02 -1.439300e+02
21 1904     3.183200e+02 -1.353300e+02
23 1904     2.494700e+02 -1.389200e+02
6 1905     -1.793400e+02 3.404200e+02
8 1905     -2.043300e+02 3.816400e+02
9 1905     -2.348000e+02 4.312600e+02
6 1906     -1.053200e+02 3.279300e+02
8 1906     -1.220500e+02 3.666200e+02
6 1907     -1.399300e+02 2.542200e+02
9 1907     -1.838100e+02 3.203400e+02
6 1908     -1.511200e+02 1.999400e+02
9 1908     -1.979000e+02 2.519900e+02
6 1909     1.777400e+02 1.668200e+02
8 1909     1.845500e+02 1.784200e+02
9 1909     1.917200e+02 1.907600e+02
12 1909     2.105700e+02 2.136000e+02
14 1909     2.013400e+02 2.013400e+02
6 1910     1.645400e+02 1.577400e+02
8 1910     1.703700e+02 1.679800e+02
9 1910     1.768400e+02 1.784300e+02
12 1910     1.932800e+02 1.994000e+02
14 1910     1.849200e+02 1.881800e+02
15 1910     2.015000e+02 2.103900e+02
17 1910     2.183000e+02 2.399100e+02
20 1910     2.096000e+02 2.249600e+02
6 1911     2.623400e+02 2.646002e+01
9 1911     2.962300e+02 3.564001e+01
6 1912     2.126200e+02 -2.559998e+00
9 1912     2.315400e+02 1.390015e+00
12 1912     2.544800e+02 2.179993e+00
14 1912     2.429300e+02 1.369995e+00
15 1912     2.676000e+02 2.859985e+00
17 1912     2.966900e+02 6.549988e+00
20 1912     2.812400e+02 5.099976e+00
33 1912     3.334600e+02 9.159973e+00
35 1912     3.137500e+02 7.690002e+00
38 1912     3.577800e+02 1.265002e+01
47 1912     3.871300e+02 1.528998e+01
6 1913     -1.325200e+02 -3.526001e+01
8 1913     -1.441600e+02 -3.548999e+01
9 1913     -1.569600e+02 -3.732001e+01
12 1913     -1.847300e+02 -4.135999e+01
15 1913     -2.002400e+02 -4.437000e+01
17 1913     -2.422300e+02 -4.784003e+01
20 1913     -2.199800e+02 -4.565997e+01
25 1913     3.561600e+02 -5.490002e+01
31 1913     3.263800e+02 -5.521002e+01
32 1913     2.687100e+02 -5.633002e+01
33 1913     -2.937700e+02 -5.495001e+01
37 1913     2.975700e+02 -5.365002e+01
38 1913     -3.283000e+02 -5.715002e+01
44 1913     2.375200e+02 -5.520001e+01
47 1913     -3.695500e+02 -6.439001e+01
6 1914     -6.954999e+01 -7.101001e+01
9 1914     -1.040400e+02 -8.669000e+01
6 1915     -3.313800e+02 -9.571997e+01
8 1915     -3.850700e+02 -1.061300e+02
18 1915     1.115600e+02 -9.429999e+01
19 1915     1.530200e+02 -9.297998e+01
21 1915     2.346900e+02 -9.075000e+01
23 1915     1.943600e+02 -9.141998e+01
24 1915     7.054999e+01 -9.529999e+01
27 1915     2.857999e+01 -9.721997e+01
6 1916     3.049100e+02 4.785300e+02
8 1916     3.464900e+02 5.608500e+02
6 1917     3.323600e+02 3.035300e+02
8 1917     3.752100e+02 3.530400e+02
6 1918     -7.170001e+01 1.966700e+02
9 1918     -8.912000e+01 2.250700e+02
12 1918     -1.061000e+02 2.563400e+02
14 1918     -9.722000e+01 2.393400e+02
15 1918     -1.153100e+02 2.727100e+02
17 1918     -1.381900e+02 3.183500e+02
20 1918     -1.262000e+02 2.948700e+02
6 1919     1.702600e+02 1.777900e+02
8 1919     1.764400e+02 1.893800e+02
9 1919     1.830900e+02 2.021300e+02
12 1919     2.008900e+02 2.261600e+02
14 1919     1.917900e+02 2.131100e+02
15 1919     2.099000e+02 2.389800e+02
17 1919     2.295300e+02 2.738900e+02
20 1919     2.190500e+02 2.561300e+02
33 1919     2.519600e+02 3.111300e+02
35 1919     2.409400e+02 2.921700e+02
38 1919     2.696400e+02 3.383600e+02
47 1919     2.892400e+02 3.669400e+02
6 1920     -2.182400e+02 7.758002e+01
9 1920     -2.724000e+02 9.614999e+01
12 1920     -3.425500e+02 1.219400e+02
18 1920     2.619600e+02 9.820999e+01
19 1920     2.928700e+02 9.613000e+01
21 1920     3.597200e+02 8.937000e+01
23 1920     3.261500e+02 9.373999e+01
25 1920     1.580600e+02 1.093700e+02
27 1920     1.942000e+02 1.059500e+02
31 1920     1.212200e+02 1.133700e+02
6 1921     3.018500e+02 4.299988e+00
8 1921     3.243000e+02 7.640015e+00
9 1921     3.503500e+02 1.113000e+01
14 1921     3.816200e+02 1.271997e+01
6 1922     -1.107600e+02 2.967900e+02
8 1922     -1.277400e+02 3.307300e+02
9 1922     -1.470000e+02 3.686600e+02
12 1922     -1.913100e+02 4.627300e+02
6 1923     -1.182500e+02 2.732200e+02
8 1923     -1.352300e+02 3.045700e+02
9 1923     -1.554000e+02 3.403700e+02
6 1924     -8.467001e+01 2.028100e+02
8 1924     -9.312000e+01 2.167700e+02
9 1924     -1.037000e+02 2.321700e+02
12 1924     -1.228300e+02 2.642400e+02
14 1924     -1.126600e+02 2.469100e+02
15 1924     -1.328900e+02 2.816300e+02
17 1924     -1.594200e+02 3.289500e+02
20 1924     -1.460600e+02 3.047700e+02
6 1925     3.260100e+02 1.865300e+02
8 1925     3.662400e+02 2.165900e+02
6 1926     -5.241000e+01 1.769500e+02
8 1926     -5.879001e+01 1.891200e+02
9 1926     -6.588000e+01 2.019800e+02
12 1926     -7.907999e+01 2.286100e+02
14 1926     -7.256000e+01 2.142300e+02
15 1926     -8.585001e+01 2.429800e+02
17 1926     -1.036600e+02 2.804100e+02
35 1926     -1.145900e+02 3.016500e+02
6 1927     3.204000e+02 2.734998e+01
8 1927     3.464100e+02 3.284003e+01
9 1927     3.766500e+02 3.920001e+01
6 1928     3.252400e+02 6.450012e+00
8 1928     3.518900e+02 1.053003e+01
6 1929     2.826900e+02 4.659600e+02
8 1929     3.189600e+02 5.424800e+02
6 1930     3.052100e+02 3.438200e+02
8 1930     3.425200e+02 3.990900e+02
6 1931     2.827800e+02 3.426300e+02
8 1931     3.123800e+02 3.917200e+02
6 1932     3.039600e+02 3.327700e+02
8 1932     3.408400e+02 3.859500e+02
6 1933     -1.254900e+02 2.697000e+02
8 1933     -1.433300e+02 3.001100e+02
9 1933     -1.640500e+02 3.352900e+02
6 1934     -1.254900e+02 2.697000e+02
8 1934     -1.433300e+02 3.001100e+02
9 1934     -1.640500e+02 3.352900e+02
6 1935     -9.579999e+01 1.796100e+02
8 1935     -1.053700e+02 1.934600e+02
9 1935     -1.158300e+02 2.067100e+02
12 1935     -1.356900e+02 2.361800e+02
14 1935     -1.251200e+02 2.203200e+02
6 1936     3.184800e+02 1.489990e+00
8 1936     3.441900e+02 4.729980e+00
9 1936     3.741900e+02 8.890015e+00
6 1937     3.184800e+02 1.489990e+00
8 1937     3.441900e+02 4.729980e+00
9 1937     3.741900e+02 8.890015e+00
6 1938     3.095600e+02 4.102002e+01
8 1938     3.336000e+02 4.747998e+01
9 1938     3.614100e+02 5.463000e+01
6 1939     3.211400e+02 3.723999e+01
8 1939     3.473900e+02 4.425000e+01
9 1939     3.781200e+02 5.222998e+01
6 1940     3.213300e+02 1.745001e+01
8 1940     3.472800e+02 2.202002e+01
9 1940     3.770200e+02 2.715002e+01
6 1941     -1.775500e+02 2.882500e+02
8 1941     -2.011400e+02 3.211900e+02
6 1942     3.333500e+02 4.446997e+01
8 1942     3.644600e+02 5.202002e+01
6 1943     2.441700e+02 3.623500e+02
8 1943     2.709600e+02 4.134300e+02
7 1944     1.962500e+02 2.209800e+02
11 1944     1.834700e+02 2.042900e+02
7 1945     2.200300e+02 1.913900e+02
11 1945     2.053800e+02 1.774500e+02
7 1946     2.008100e+02 1.707600e+02
11 1946     1.873600e+02 1.577300e+02
